epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,77315.9,1.07728,0.5907,1.07981,0.81559,0.78289,0.8262,0.48604,1.4671,0.851,1.27043,4.39181e-05,4.39181e-05,4.39181e-05
88,78266.7,1.07807,0.58733,1.07421,0.82443,0.77112,0.8273,0.48723,1.46869,0.84853,1.27213,3.89971e-05,3.89971e-05,3.89971e-05
89,79152.2,1.0693,0.57956,1.07251,0.8101,0.78483,0.82602,0.48601,1.46691,0.85028,1.26813,3.44209e-05,3.44209e-05,3.44209e-05
90,80041.1,1.07006,0.57932,1.07503,0.81308,0.78029,0.82485,0.4853,1.46584,0.85181,1.2694,3.0194e-05,3.0194e-05,3.0194e-05
91,80942.8,1.07053,0.5833,1.07467,0.81725,0.77774,0.8237,0.48543,1.46456,0.8499,1.26835,2.63206e-05,2.63206e-05,2.63206e-05
92,81858.6,1.06366,0.57968,1.0704,0.81109,0.78138,0.82459,0.48667,1.46165,0.84917,1.26793,2.28044e-05,2.28044e-05,2.28044e-05
93,82785.3,1.06409,0.57704,1.07254,0.8108,0.7836,0.82617,0.48779,1.46086,0.84542,1.26687,1.9649e-05,1.9649e-05,1.9649e-05
94,83647,1.06164,0.57465,1.07109,0.82118,0.77612,0.82611,0.48792,1.46558,0.84599,1.27043,1.68574e-05,1.68574e-05,1.68574e-05
95,84504.1,1.05754,0.56787,1.06432,0.81472,0.78015,0.82366,0.48679,1.46376,0.84635,1.26848,1.44324e-05,1.44324e-05,1.44324e-05
96,85357.5,1.05964,0.56829,1.06678,0.81629,0.78196,0.8248,0.48721,1.46515,0.84625,1.26915,1.23765e-05,1.23765e-05,1.23765e-05
97,86215.7,1.05086,0.56705,1.06487,0.81627,0.78065,0.82371,0.48854,1.46206,0.84535,1.26787,1.06916e-05,1.06916e-05,1.06916e-05
98,87142.9,1.05781,0.56593,1.0672,0.81657,0.78106,0.82297,0.48745,1.46557,0.84751,1.26973,9.37936e-06,9.37936e-06,9.37936e-06
99,88022.9,1.05372,0.56659,1.06237,0.82004,0.77896,0.82417,0.48641,1.46499,0.84777,1.26894,8.44114e-06,8.44114e-06,8.44114e-06
100,88879.6,1.05452,0.56513,1.06382,0.81921,0.77942,0.82441,0.4864,1.46489,0.84847,1.26941,7.87783e-06,7.87783e-06,7.87783e-06
